"id_producto","id_categoria","codigo_interno","tipo_vehiculo","marca","modelo","año","color","chasis","motor","kilometraje","combustible","transmision","numero_puertas","capacidad_pasajeros","estado","procedencia","ubicacion_actual","costo_base","precio_contado_sugerido","precio_venta_minimo","estado_disponibilidad","observaciones","fecha_ingreso","fecha_registro","activo"
1,1,"1C4RJFAM8DC622827",NULL,"JEEP","GRAND CHEROKEE Color: NEGRO Año: 2013 Motor: 3000 c.c",2013,"NEGRO","1C4RJFAM8DC622827","3000",NULL,NULL,NULL,NULL,NULL,NULL,"IMPORTADO",NULL,"0.00","0.00","164000000.00","VENDIDO","Migrado de SQL Server. Chapa: ","2025-10-04","2026-02-03 01:33:20.122474",True
2,1,"ANE11-0023429",NULL,"OTRO","WISH Color: GRIS Año: 2004 Motor: 2000 c.c",2004,"GRIS","ANE11-0023429","2000",NULL,NULL,NULL,NULL,NULL,NULL,"IMPORTADO",NULL,"31271000.00","0.00","74000000.00","VENDIDO","Migrado de SQL Server. Chapa: ","2025-08-19","2026-02-03 01:33:20.122474",True
3,1,"AZR600423658",NULL,"OTRO","VOXY Color: PERLA Año: 2005 Motor: 2000 c.c",2005,"PERLA","AZR600423658","2000",NULL,NULL,NULL,NULL,NULL,NULL,"IMPORTADO",NULL,"0.00","0.00","77600000.00","VENDIDO","Migrado de SQL Server. Chapa: ","2025-10-13","2026-02-03 01:33:20.122474",True
4,1,"AZR600485186",NULL,"OTRO","VOXY Color: NEGRO Año: 2005 Motor: 2000 c.c",2005,"NEGRO","AZR600485186","2000",NULL,NULL,NULL,NULL,NULL,NULL,"IMPORTADO",NULL,"30524000.00","0.00","72000000.00","VENDIDO","Migrado de SQL Server. Chapa: ","2025-10-16","2026-02-03 01:33:20.122474",True
5,1,"AZT240-0001862",NULL,"OTRO","PREMIO Color: PLATA Año: 2002 Motor: 2000 c.c",2002,"PLATA","AZT240-0001862","2000",NULL,NULL,NULL,NULL,NULL,NULL,"IMPORTADO",NULL,"34922000.00","0.00","76000000.00","VENDIDO","Migrado de SQL Server. Chapa: ","2025-08-19","2026-02-03 01:33:20.122474",True
6,1,"AZT2400001889",NULL,"OTRO","PREMIO Color: AZUL Año: 2002 Motor: 2000 c.c",2002,"AZUL","AZT2400001889","2000",NULL,NULL,NULL,NULL,NULL,NULL,"IMPORTADO",NULL,"0.00","0.00","72160000.00","VENDIDO","Migrado de SQL Server. Chapa: ","2025-10-10","2026-02-03 01:33:20.122474",True
7,1,"AZT240-0011993",NULL,"OTRO","ALLION Color: CELESTE Año: 2002 Motor: 2000 c.c",2002,"CELESTE","AZT240-0011993","2000",NULL,NULL,NULL,NULL,NULL,NULL,"IMPORTADO",NULL,"33170000.00","0.00","76000000.00","VENDIDO","Migrado de SQL Server. Chapa: ","2025-08-19","2026-02-03 01:33:20.122474",True
8,1,"AZT241-0031138",NULL,"OTRO","CALDINA Color: BLANCO Año: 2007 Motor: 2000 c.c",2007,"BLANCO","AZT241-0031138","2000",NULL,NULL,NULL,NULL,NULL,NULL,"IMPORTADO",NULL,"35556000.00","0.00","78000000.00","DISPONIBLE","Migrado de SQL Server. Chapa: ","2025-08-19","2026-02-03 01:33:20.122474",True
9,1,"CR400020489",NULL,"OTRO","NOAH Color: BLANCO Año: 1998 Motor: 2000 c.c",1998,"BLANCO","CR400020489","2000",NULL,NULL,NULL,NULL,NULL,NULL,"IMPORTADO",NULL,"0.00","0.00","70000000.00","VENDIDO","Migrado de SQL Server. Chapa: AAUC913","2025-12-12","2026-02-03 01:33:20.122474",True
10,1,"FB15402456",NULL,"OTRO","SUNNY Color: DORADO Año: 2004 Motor: 1500 c.c",2004,"DORADO","FB15402456","1500",NULL,NULL,NULL,NULL,NULL,NULL,"IMPORTADO",NULL,"0.00","0.00","61000000.00","VENDIDO","Migrado de SQL Server. Chapa: ","2025-10-14","2026-02-03 01:33:20.122474",True
